version,rows_attempted,rows_saved,save_rate_percent,avg_b_tags_per_row,avg_labelled_tokens_per_row,avg_tokens_per_row
Original,3000,2740,91.33333333333333,4.562773722627737,6.693795620437956,335.56934306569343
V1,500,114,22.8,1.8771929824561404,4.131578947368421,74.66666666666667
V2,500,43,8.6,2.2790697674418605,5.069767441860465,114.44186046511628
V3,500,13,2.6,2.4615384615384617,5.230769230769231,86.07692307692308
